accent,original WER,original confidence,transformed WER,transformed confidence
mandarin42,0.2857142857142857,0.75473559,1.0,0.0
mandarin52,0.14285714285714285,0.89480519,0.35714285714285715,0.87452853
mandarin48,0.07142857142857142,0.79013169,0.5,0.52895486
mandarin23,0.21428571428571427,0.89066929,0.21428571428571427,0.73894763
mandarin34,0.14285714285714285,0.8488732,1.0,0.0
mandarin45,0.07142857142857142,0.8737849,1.0,0.0
mandarin16,0.35714285714285715,0.9251464,0.5,0.77760732
mandarin8,0.07142857142857142,0.75457692,0.2857142857142857,0.52062094
mandarin11,0.07142857142857142,0.96260661,0.14285714285714285,0.88420075
mandarin61,0.14285714285714285,0.97769141,0.14285714285714285,0.74601275
russian32,0.21428571428571427,0.85373729,0.9285714285714286,0.8491807
russian22,0.07142857142857142,0.91214079,0.6428571428571429,0.85120821
russian38,0.14285714285714285,0.87689263,0.9285714285714286,0.18352586
russian23,0.0,0.92210352,1.0,0.0
russian19,0.0,0.97987568,0.21428571428571427,0.90231609
russian18,0.0,0.84362793,0.14285714285714285,0.63186657
russian1,0.0,0.9012261,0.0,0.82887858
russian9,0.14285714285714285,0.92201048,0.14285714285714285,0.69826198
russian24,0.14285714285714285,0.9193154,1.0,0.0
russian17,0.14285714285714285,0.52072024,1.0,0.0
spanish127,0.14285714285714285,0.93157381,0.2857142857142857,0.94771135
spanish142,0.07142857142857142,0.97017121,0.07142857142857142,0.77653134
spanish98,0.14285714285714285,0.9232527,0.5714285714285714,0.8322584
spanish140,0.2857142857142857,0.90588957,0.42857142857142855,0.73190302
spanish31,0.2857142857142857,0.93476242,0.42857142857142855,0.69881994
spanish67,0.14285714285714285,0.95673132,0.21428571428571427,0.58419919
spanish46,0.07142857142857142,0.94671786,0.14285714285714285,0.77994394
spanish1,0.2857142857142857,0.93169171,0.21428571428571427,0.71265799
spanish90,0.07142857142857142,0.95274538,1.0,0.0
spanish143,0.07142857142857142,0.96610618,0.2857142857142857,0.35503376
